, $650.00 , $700.00 , $450.00 , $900.00 , $350.00 , $600.00 ," $1,100.00 ", $150.00 ,,,,,, $52.67 , $30.00 ,, $161.85 ,,,,
EMPRESA, PROGRAMACIÓN PLC HMI,SERVOMOTOR,DISEÑO TABLERO,DISEÑO MECANICO,INSTALACIÓN ,FABRICACIÓN,SOPORTE,ARQUITECTURA,TIEMPO PLANTA,TOTAL,MATERIALES,TOTAL 30%,VIÁTICOS,HR CAMIONETA,GASOLINA,TIEMPO INVEST,GASTOS GENERALES,TOTAL ,3% CREDITO,TOTAL VENTA,DESCUENTO 5%
BOLSAS DE LOS ALTOS ,,,,,,,,, -   , $-   ,, $-   ,, $-   , $600.00 ,, $-   , $600.00 , $18.00 , $618.00 , $30.90 
ANGUIPLAST,,,,,,,,, -   , $-   ,, $-   ,, $-   , $600.00 ,, $-   , $600.00 , $18.00 , $618.00 ,
ECOBOLSAS,,,,,,,,, -   , $-   ,, $-   ,, $-   , $600.00 ,, $-   , $600.00 , $18.00 , $618.00 ,
BADER TABACHINES,,,,,,,,, -   , $-   ,, $-   ,, $-   , $60.00 ,, $-   , $60.00 , $1.80 , $61.80 ,
BODYCOTE,,,,,,,,, -   , $-   ,, $-   ,, $-   , $270.00 ,, $-   , $270.00 , $8.10 , $278.10 ,
COFICAB,,,,,,,,, -   , $-   ,, $-   ,, $-   , $240.00 ,, $-   , $240.00 , $7.20 , $247.20 ,
CONDUMEX,,,,,,,,, -   , $-   ,, $-   ,, $-   , $270.00 ,, $-   , $270.00 , $8.10 , $278.10 ,
ECSA,,,,,,,,, -   , $-   ,, $-   ,, $-   , $768.00 ,, $-   , $768.00 , $23.04 , $791.04 ,
EPC1,,,,,,,,, -   , $-   ,, $-   ,, $-   ," $1,200.00 ",, $-   ," $1,200.00 ", $36.00 ," $1,236.00 ",
EPC 2,,,,,,,,, -   , $-   ,, $-   ,, $-   ," $1,200.00 ",, $-   ," $1,200.00 ", $36.00 ," $1,236.00 ",
FRAENKISCHE,,,,,,,,, -   , $-   ,, $-   ,, $-   , $270.00 ,, $-   , $270.00 , $8.10 , $278.10 ,
GEDNEY,,,,,,,,, -   , $-   ,, $-   ,, $-   , $66.00 ,, $-   , $66.00 , $1.98 , $67.98 ,
GRUPO ACERERO,,,,,,,,, -   , $-   ,, $-   ,, $-   ," $1,200.00 ",, $-   ," $1,200.00 ", $36.00 ," $1,236.00 ",
HALL PLANTA 1,,,,,,,,, -   , $-   ,, $-   ,, $-   , $210.00 ,, $-   , $210.00 , $6.30 , $216.30 ,
HIRUTA PLANTA 1,,,,,,,,, -   , $-   ,, $-   ,, $-   , $210.00 ,, $-   , $210.00 , $6.30 , $216.30 ,
IK PLASTIC,,,,,,,,, -   , $-   ,, $-   ,, $-   , $222.00 ,, $-   , $222.00 , $6.66 , $228.66 ,
IMPRENTA JM,,,,,,,,, -   , $-   ,, $-   ,, $-   , $54.00 ,, $-   , $54.00 , $1.62 , $55.62 ,
JARDÍN LA ALEMANA,,,,,,,,, -   , $-   ,, $-   ,, $-   , $36.00 ,, $-   , $36.00 , $1.08 , $37.08 ,
MAFLOW,,,,,,,,, -   , $-   ,, $-   ,, $-   , $216.00 ,, $-   , $216.00 , $6.48 , $222.48 ,
MARQUARDT,,,,,,,,, -   , $-   ,, $-   ,, $-   , $420.00 ,, $-   , $420.00 , $12.60 , $432.60 ,
MICROONDA,,,,,,,,, -   , $-   ,, $-   ,, $-   , $162.00 ,, $-   , $162.00 , $4.86 , $166.86 ,
MR LUCKY,,,,,,,,, -   , $-   ,, $-   ,, $-   , $456.00 ,, $-   , $456.00 , $13.68 , $469.68 ,
