,, $30.00 , $87.00 ,,, $52.67 ,,,
EMPRESA, TIEMPO ENTREGA,GASOLINA, VENTAS,TOTAL, BECERRA, CAMIONETA X HORA,GASTOS S/U,UTLIDAD 45%,CREDITO 3%
BOLSAS DE LOS ALTOS ,5, $600.00 , $435.00 ," $1,035.00 ",, $263.35 ," $1,298.35 "," $1,882.61 "," $1,939.09 "
ANGUIPLAST,5, $600.00 , $435.00 ," $1,035.00 ",, $263.35 ," $1,298.35 "," $1,817.69 "," $1,872.22 "
ECOBOLSAS,5, $600.00 , $435.00 ," $1,035.00 ",, $263.35 ," $1,298.35 "," $1,817.69 "," $1,872.22 "
BADER TABACHINES,2, $60.00 , $174.00 , $234.00 ,, $105.34 , $339.34 , $475.08 , $489.33 
BODYCOTE,3, $270.00 , $261.00 , $531.00 ,, $158.01 , $689.01 , $964.61 , $993.55 
COFICAB,3, $240.00 , $261.00 , $501.00 ,, $158.01 , $659.01 , $922.61 , $950.29 
CONDUMEX,3, $270.00 , $261.00 , $531.00 ,, $158.01 , $689.01 , $964.61 , $993.55 
ECSA,2, $768.00 , $174.00 , $942.00 ,, $105.34 ," $1,047.34 "," $1,466.28 "," $1,510.26 "
EPC1,5," $1,200.00 ", $435.00 ," $1,635.00 ",, $263.35 ," $1,898.35 "," $2,657.69 "," $2,737.42 "
EPC 2,5," $1,200.00 ", $435.00 ," $1,635.00 ",, $263.35 ," $1,898.35 "," $2,657.69 "," $2,737.42 "
FRAENKISCHE,3, $270.00 , $261.00 , $531.00 ,, $158.01 , $689.01 , $964.61 , $993.55 
GEDNEY,3, $66.00 , $261.00 , $327.00 ,, $158.01 , $485.01 , $679.01 , $699.38 
GRUPO ACERERO,5," $1,200.00 ", $435.00 ," $1,635.00 ",, $263.35 ," $1,898.35 "," $2,657.69 "," $2,737.42 "
HALL PLANTA 1,3, $210.00 , $261.00 , $471.00 ,, $158.01 , $629.01 , $880.61 , $907.03 
HIRUTA PLANTA 1,3, $210.00 , $261.00 , $471.00 ,, $158.01 , $629.01 , $880.61 , $907.03 
IK PLASTIC,3, $222.00 , $261.00 , $483.00 ,, $158.01 , $641.01 , $897.41 , $924.34 
IMPRENTA JM,2, $54.00 , $174.00 , $228.00 ,, $105.34 , $333.34 , $466.68 , $480.68 
JARDÍN LA ALEMANA,2, $36.00 , $174.00 , $210.00 ,, $105.34 , $315.34 , $441.48 , $454.72 
MAFLOW,2, $216.00 , $174.00 , $390.00 ,, $105.34 , $495.34 , $693.48 , $714.28 
MARQUARDT,3, $420.00 , $261.00 , $681.00 ,, $158.01 , $839.01 ," $1,174.61 "," $1,209.85 "
MICROONDA,1, $162.00 , $87.00 , $249.00 ,, $52.67 , $301.67 , $422.34 , $435.01 
MR LUCKY,3, $456.00 , $261.00 , $717.00 ,, $158.01 , $875.01 ," $1,225.01 "," $1,261.76 "
NHK,3, $420.00 , $261.00 , $681.00 ,, $158.01 , $839.01 ," $1,174.61 "," $1,209.85 "
NISHIKAWA,3, $420.00 , $261.00 , $681.00 ,, $158.01 , $839.01 ," $1,174.61 "," $1,209.85 "
PIELES AZTECA,2, $216.00 , $174.00 , $390.00 ,, $105.34 , $495.34 , $693.48 , $714.28 
RONGTAI,3, $96.00 , $261.00 , $357.00 ,, $158.01 , $515.01 , $721.01 , $742.64 
SAFE DEMO,2, $192.00 , $174.00 , $366.00 ,, $105.34 , $471.34 , $659.88 , $679.67 
ELECTROFORJADOS,2, $48.00 , $174.00 , $222.00 ,, $105.34 , $327.34 , $458.28 , $472.02 
SUACERO,5," $1,200.00 ", $435.00 ," $1,635.00 ",, $263.35 ," $1,898.35 "," $2,657.69 "," $2,737.42 "
TQ-1,2, $78.00 , $174.00 , $252.00 ,, $105.34 , $357.34 , $500.28 , $515.28 
MINO INDUSTRY,2, $90.00 , $174.00 , $264.00 ,, $105.34 , $369.34 , $517.08 , $532.59 
FAS,4, $660.00 , $348.00 ," $1,008.00 ",, $210.68 ," $1,218.68 "," $1,706.15 "," $1,757.34 "
GRANOS Y SEMILLAS,4, $480.00 , $348.00 , $828.00 ,, $210.68 ," $1,038.68 "," $1,454.15 "," $1,497.78 "
DI CENTRAL,3, $54.00 , $261.00 , $315.00 ,, $158.01 , $473.01 , $662.21 , $682.08 
FAMO ALIMENTOS,3, $120.00 , $261.00 , $381.00 ,, $158.01 , $539.01 , $754.61 , $777.25 
GRUPO ZAHONERO,2, $36.00 , $174.00 , $210.00 ,, $105.34 , $315.34 , $457.24 , $470.96 
CARTO MICRO,2, $48.00 , $174.00 , $222.00 ,, $105.34 , $327.34 , $474.64 , $488.88 
EMMSA LEÓN.,2, $48.00 , $174.00 , $222.00 ,, $105.34 , $327.34 , $474.64 , $488.88 
EMMSA SILAO,2, $240.00 , $174.00 , $414.00 ,, $105.34 , $519.34 , $753.04 , $775.63 
TORNIMASTER,3, $42.00 , $261.00 , $303.00 ,, $158.01 , $461.01 , $668.46 , $688.52 
HORMAS PALACIOS,2, $48.00 , $174.00 , $222.00 ,, $105.34 , $327.34 , $474.64 , $488.88 
SADDLEBACK,2, $60.00 , $174.00 , $234.00 ,, $105.34 , $339.34 , $492.04 , $506.80 
PILSAC,2, $36.00 , $174.00 , $210.00 ,, $105.34 , $315.34 , $457.24 , $470.96 
BRUSAROSCO,2, $48.00 , $174.00 , $222.00 ,, $105.34 , $327.34 , $474.64 , $488.88 
HIELO REGIA,2, $120.00 , $174.00 , $294.00 ,, $105.34 , $399.34 , $579.04 , $596.41 
AEROPUERTO,2, $216.00 , $174.00 , $390.00 ,, $105.34 , $495.34 , $718.24 , $739.79 
PRELOSA,3, $150.00 , $261.00 , $411.00 ,, $158.01 , $569.01 , $825.06 , $849.82 
TENERÍA VARGAS,2, $60.00 , $174.00 , $234.00 ,, $105.34 , $339.34 , $492.04 , $506.80 
SOSER,2, $60.00 , $174.00 , $234.00 ,, $105.34 , $339.34 , $492.04 , $506.80 
ARCOSA,4, $48.00 , $348.00 , $396.00 ,, $210.68 , $606.68 , $879.69 , $906.08 
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
