CÓDIGO MARKING,DESCRIPCION DEL PRODUCTO,EXISTENCIA,UBICACION,ENCAPSULADO,COSTO_UNITARIO_MXN,TOTAL_LINEA_MXN,ENLACE_REFERENCIA
LM339,AMPLIFICADOR COMPARADOR,7.0,A1,DIP 14,15.0,105.0,https://octopart.com/search?q=LM339
LM339,AMPLIFICADOR COMPARADOR,9.0,A1,SOIC 14,15.0,135.0,https://octopart.com/search?q=LM339
CD4046BE,CIRCUITO SINCRONIZADOR DE FASE,4.0,A2,DIP14,25.0,100.0,https://octopart.com/search?q=CD4046BE
LM393,COMPARADOR DUAL,18.0,B1,SOIC 8,12.0,216.0,https://octopart.com/search?q=LM393
74HC85,High-Speed CMOS Logic 4-Bit Magnitude Comparator,7.0,C1,SOIC 14,20.0,140.0,https://octopart.com/search?q=74HC85
74HC85,High-Speed CMOS Logic 4-Bit Magnitude Comparator,5.0,C1,DIP 14,20.0,100.0,https://octopart.com/search?q=74HC85
HEF40106,Hex inverting Schmitt trigger,4.0,A2,DIP14,18.0,72.0,https://octopart.com/search?q=HEF40106
74HC00,COMPUERTAS NAND,5.0,D1,DIP14,10.0,50.0,https://octopart.com/search?q=74HC00
IRFBC40,MOSFET CHANEL N,5.0,E1,TO-220,45.0,225.0,https://octopart.com/search?q=IRFBC40
RHRP15100,DIODO HIPERFAST,4.0,E1,TO-220,50.0,200.0,https://octopart.com/search?q=RHRP15100
2N6344,TRIACS 8AMPER,1.0,F1,TO220,40.0,40.0,https://octopart.com/search?q=2N6344
FB3307Z,MOSFET CHANEL N,2.0,F1,TO-220,35.0,70.0,https://octopart.com/search?q=FB3307Z
74LS21,DUAL 4-INPUT POSITIVE-AND GATES,2.0,G1,DIP 14,15.0,30.0,https://octopart.com/search?q=74LS21
74LS14,SCHMITT TRIGGERSDUAL GATE/HEX INVERTER,2.0,G1,DIP14,15.0,30.0,https://octopart.com/search?q=74LS14
AM26LS31,Quadruple Differential Line Driver,4.0,H1,SOIC 14,30.0,120.0,https://octopart.com/search?q=AM26LS31
HCPL-0453,Optoacopladores de alta velocidad 1MBd 1Ch 16mA,13.0,B2,SOIC 8,60.0,780.0,https://octopart.com/search?q=HCPL-0453
NCP5106BDR2G,Controladores de puertas HIGH VOLT MOSFET DR LO MOSFET IGBT,3.0,C2,SOIC 8,25.0,75.0,https://octopart.com/search?q=NCP5106BDR2G
IRFR3411,MOSFET N-CH 100V 32A DPAK,1.0,C2,TO-252AA,25.0,25.0,https://octopart.com/search?q=IRFR3411
DSEI30-06A,Diodo epitaxial de recuperación rápida,1.0,D2,,80.0,80.0,https://octopart.com/search?q=DSEI30-06A
TLH-4951,BATERIA 3.6,1.0,E2,1/2AA,150.0,150.0,https://octopart.com/search?q=TLH-4951
XL-050F,BATERIA 3.6V,1.0,E2,1/2AA,120.0,120.0,https://octopart.com/search?q=XL-050F
F2/250E ,Fusible cerámico de acción retardada 2A/250V,3.0,F2,,5.0,15.0,https://octopart.com/search?q=F2/250E 
083AG324A2,Controlador de sumidero Darlington de 8 canales,6.0,F2,,10.0,60.0,https://octopart.com/search?q=083AG324A2
M81738FP,Controlador de medio puente de alto voltaje de 1200 V,2.0,G2,,250.0,500.0,https://octopart.com/search?q=M81738FP
HEF4094BT,Registro de desplazamiento serial de 8 etapas.,2.0,E3,SO16,20.0,40.0,https://octopart.com/search?q=HEF4094BT
74HCT02,COMPUERTAS LOGICAS NOR,7.0,B3,SOIC 14,10.0,70.0,https://octopart.com/search?q=74HCT02
HCF4094,Registro de bus de desplazamiento y almacenamiento de 8 etapas con salidas de 3 etapas,3.0,C3,SO16,20.0,60.0,https://octopart.com/search?q=HCF4094
SN75176BP,INTERFAS RS485/422,4.0,D3,SOIC-8,15.0,60.0,https://octopart.com/search?q=SN75176BP
TL598CN,CONTROLADOR PWM,2.0,F3,DIP-16,40.0,80.0,https://octopart.com/search?q=TL598CN
CD4011BE,Puertas NAND CMOS,11.0,G3,DIP-14,12.0,132.0,https://octopart.com/search?q=CD4011BE
TEXTOOL/3M,BASE PARA MICROCONTROLADOR DE EDC,1.0,A4,,350.0,350.0,https://octopart.com/search?q=TEXTOOL/3M
HCPL-786J,OPTOACOPLADOR Data Acquisition ADCs/DACs - Specialized Isolated Modular,6.0,C4,SOIC-16,180.0,1080.0,https://octopart.com/search?q=HCPL-786J
LT1791IS,INTERFAS RS485/422,2.0,D4,SOIC-14,150.0,300.0,https://octopart.com/search?q=LT1791IS
CD4013,FLIP-FLOP,2.0,E4,DIP-14,15.0,30.0,https://octopart.com/search?q=CD4013
MC14503BDR2G,Hex Non-Inverting 3-State Buffer,5.0,F4,SOIC-16,25.0,125.0,https://octopart.com/search?q=MC14503BDR2G
BZX55C18-TR,DIODO ZENER 18V 0.5W,4.0,G4,,2.0,8.0,https://octopart.com/search?q=BZX55C18-TR
SK310BQ-LTP,DIODO SCHOTTKY ,4.0,H4,DO214AA,8.0,32.0,https://octopart.com/search?q=SK310BQ-LTP
CD4001,COMPUERTAS LOGICAS NOR,9.0,A5,,12.0,108.0,https://octopart.com/search?q=CD4001
MC33167TVG,SWITCHING REGULADOR 40V 5A,2.0,H3,TO-220,80.0,160.0,https://octopart.com/search?q=MC33167TVG
TOP250YN,AC/DC Converters 210 W 85-265 VAC 290 W 230 VAC,2.0,B5,TO-220,85.0,170.0,https://octopart.com/search?q=TOP250YN
RMS-100E,RESISTENCIA 10 OHMS ,10.0,C5,SMD,50.0,500.0,https://octopart.com/search?q=RMS-100E
0325020.MXF80P,FUSIBLE AMERICANO250V 20A SLO-BLO,3.0,D5,AMERICANO,25.0,75.0,https://octopart.com/search?q=0325020.MXF80P
D2F-01FL-T,MICRO SWITCH ,3.0,E5,,30.0,90.0,https://octopart.com/search?q=D2F-01FL-T
CC1R5-2412DF-E,CONVERTIDOR DC/DC AISLADO 1.5W 12V,1.0,F5,,210.0,210.0,https://octopart.com/search?q=CC1R5-2412DF-E
