id,nombre,nombre_comercial,direccion_encriptada,rfc_encriptado,contacto_nombre,contacto_email_encriptado,contacto_telefono_encriptado,km_distancia,horas_viaje,tipo_cliente,creado_por,creado_en,actualizado_en
15d7dec6-34c0-489c-9e1b-a3ef7560cfea,HIRUTA PLANTA 1,,"ww0EBwMCGOCLTHFZ+sVg0kcB9vD91/203Bxkfa3QExSyO8781H6pE+AiTpTdyxJwXnx+8W4m0aud
3R8CakbMCBCEi8K20Mr9kkpK31Gs7GTx3jS0/nX6mg==","ww0EBwMCecsNpG2oxS1g0j0BPC1D0ygUt2b1EiR6Iw57eKh+VzmfwDj7gFtv/cop19I4Zm9EfE77
vyehWVXRsADURtKp65jpESQ+3Lcn",Mtto,"ww0EBwMCCTJweDatoFBj0kABVZgBNFJWQ300xa2rt0fii/mCEtCJwiAYtknqHkOsxDyKNk33xCc9
Gfbhr1R/vsIjFuGZBa1yzTjdrgALgyJm","ww0EBwMCFEVevfVz8+1i0jsBfoz6TiVd/izj5LbuUKwubEN8WiKbzoiqghzsWRk91X6W0SkIGoE1
BAL7bPXS4/ySp/Zhlm/Q/E6qtg==",58.40,3.00,industrial,,2026-02-26 15:04:03.371659+00,2026-02-26 15:04:03.371659+00
183c4145-2d7c-45d7-b070-f30a42320cff,ECSA,,"ww0EBwMC4IsX/IZS6tR50jsBPVcShzMrOytiMggrj2EVOKSmOUkjXDHr1OY8dxsj+B+9NYNWoTbn
WvT7pzqKAztAVZOp7sUMu4HH4Q==","ww0EBwMCN5GOsTNOV2l70j0B3GkKW+kdyiLpSKzTjnAacqwr8QS2ET5nvo4rCWAB5wxtXBkSm3qT
N+0zeiDtmtj0GXCIZLuAFudi/TSN",Admin,"ww0EBwMCkTBXcWAuG8Jq0j8BsSYbE9IfKEeehGyQWnyRZN+757B0PPiisymQkoHWakM6Q1S75QKU
aDN0pWdXCU5yXVsot9lObx8BiJ8Q+/o=","ww0EBwMCzB259NIX3lNw0jsBmYXTfU75Hygfwu5auffZrcLMZ/SHO0a2cTQblL9j/s2iLqjinQXH
dRJaUQXVT7LOcyCN3ANZmCwHAw==",32.00,2.00,industrial,,2026-02-26 15:04:03.371659+00,2026-02-26 15:04:03.371659+00
1974434a-a52a-4d89-b24d-0fb3b7cfcb04,EPC 1,,"ww0EBwMCGB+3ksxl6IF20jQBwWbaRVVjrQwtJHR0q/tqUB6+BADdhktQKMxOmLFdyy5GzbCTlZx6
BgC+Yds1geWSXMDV","ww0EBwMCIyK+l2vnraFo0j0B4D9L9DK67xD5hD9LDJhCYhR4yhSmgSlE5rLwpAyQ6Hfhbl+LhQqu
BgPiOWtgYr8t+EYiw7DL9qWMNt2p",Ingeniería,"ww0EBwMCxL8tEaUVoot80kQBNknTbeaBmCI12uEU628moRsdLptwi9twQdoAlc3BXVvJufMZmB41
9n9YbGUUubTEkSftsR6QVfxuEkXYYMKwqFAOrg==","ww0EBwMCYn9AMbvuCE9t0jsB7WT3rNQbWzLkNwN9r9IB50j0jdNJaoj3sG5Jn1eWJ0ZRW9FIsXke
WWbpSzIJIA/WbQgDHqMqKN1cwg==",400.00,7.00,industrial,,2026-02-26 15:04:03.371659+00,2026-02-26 15:04:03.371659+00
1ac6e32a-78ef-4e55-820a-f516ebdf68fb,NISHIKAWA,,"ww0EBwMC9tATZCRQvopy0jsBHVK9kWgifbSRE7SCmWg+wXnQ9uS/HoOhWfHgAdY9QQfEfznM0N1A
B9C4mDF95zd2lESzYutIUcLSGQ==","ww0EBwMC/hraNJta95Zw0j0B5JgbpFVoLDl93HXuzg7rBe6qVypzjAdp2l1TOTOd2v5but8QK4QP
qOJDFW+1r8GaPBKsCNZxxW30cTiD",Ing. Prod,"ww0EBwMCZwPcA22th6Fy0kkBNJF2EY+m/yagtryX45IbqDHpmLsYI5Quy6d+Yt1e+tXV7rdzTN+t
zmWrXC9K2CtG7ZFPBxv1/JOc1AHTn42xyDNvwF77V90q","ww0EBwMCI9ZwvLcEPkxx0jsBm3iu0ll31HB5lk8CDDny8sjwLDBl4nAi29PjCEl4x36/Bncme6y3
+4R9NBB2HNmXONJoPdEGxti8Sw==",61.00,3.00,industrial,,2026-02-26 15:04:03.371659+00,2026-02-26 15:04:03.371659+00
2a0388c1-150f-49c9-9f09-4b7221ad5360,FRAENKISCHE,,"ww0EBwMC7Aon3K+alcl10jsBG64CpGBKdt7hZP1psxjxEEhVcMdYBFNBoXsVmwGE2bXMkUWGNlxh
ROyqduGvoy7qxjxNRdulklbJQg==","ww0EBwMC0tu4x3+Etdp10j0BN6OVmbIgDKAs2n8NB1HErAg3sgUZFhqx3fBPKJHoKlcggG96eonB
RY/7sn/1GBD0BaPo1lNww8JTlaLu",Mtto,"ww0EBwMCeVDTL0hYQPtr0kUBPuQ2yR+jG8seNdLO0BofmBPwVNmrqppzBhYm++ViOyPNVF2YUaNt
tihp1+EenNv5isFl50Iq5brqoc/6NMvpzB2nq/c=","ww0EBwMCXDkRRocEhVls0jsBkShGks/rTUleHJ+S8ZQlX1gTalGW0ko7ViABTFNFBnjTqq54e5Cp
qsWf6UUDEIjcr1ceoGC4VUYtlg==",79.40,3.00,industrial,,2026-02-26 15:04:03.371659+00,2026-02-26 15:04:03.371659+00
2a9e498a-54b7-4597-bc0d-ad60532e9739,MINO INDUSTRY,,"ww0EBwMCwUdoBB5iNbtx0jsBh67BlMq8ALAh/6Rjd6rGNXUNqk0u2x1eWzZ/GHb50zB4t8MwKH7V
O3TqzZ2VdMUifVUSgZrOJcWfPA==","ww0EBwMCfFOkMQVTHepv0j0BnQK5kolh1PFwB8jIJdsGkrk7FIta4M+ERMiKn3oCaSPVxCNdJneQ
MPzSmALMfoPz7qQ2aaGi5N/BM87c",Ing. Moldes,"ww0EBwMCS5cNZHQn/P9x0kABi05phUasuo7gt8kh4uiEmxUU3vit+EzS6xI6VeNGOiHy5zL4mzWQ
Gr1gueBWQ0NfNSjKpfauyethdV1g6rVV","ww0EBwMC/yXeAB9/8OB70jsBRQlHTnSx9fOxYRsXqXYX95x0VFsV6Y3SCeTBtH/yw7IN8T1S+izx
9NYorDbxjnaJMw3pW96k/LnFkQ==",29.20,2.00,industrial,,2026-02-26 15:04:03.371659+00,2026-02-26 15:04:03.371659+00
2b02ec5f-ac48-49a9-a6a0-29aada5a62a1,PIELES AZTECA,,"ww0EBwMCpu2YfAJi50970jsB2+1Ook0sg4Mb4FnqbAhBP2yERUCaD7RifXSpHUQYI5iEFYv1NtFM
Z7JHqKrV31g/E4/BSU2cJAwWaw==","ww0EBwMCJ4deSWbXLx5p0j0Brlck6Jx4qUY+cSIrmEIQPWTTxo5Y8OHmeayvZWW/LQwTpM3GRt7O
mieCufj3yrRtLXhJEauyMws+8Do5",Almacén,"ww0EBwMClAogmPVC+7pm0kkBxse2WJGQDZi9z5S5+rxW6PdQmMFR3g53zCYgSOHGQ9EZtjVnv+OF
dJ4lvtNsW2Kb0isLYZxSyR8aPl0sodVrlKMEFsTSuWNN","ww0EBwMCKeGGWh5Xdodr0jsBlaRRLYxLuhN4gvj/6vl7YvmZI9V7niTS1K2RVrfhajhY42HGof5+
HugbKatIPnywYV8/Zb+ECFAwNQ==",5.00,1.00,industrial,,2026-02-26 15:04:03.371659+00,2026-02-26 15:04:03.371659+00
458fc797-653d-42fb-ac16-0add7c7cfca0,TQ-1,,"ww0EBwMCiIyxayB1LRFu0jsBlnJBdBDxF7tB+KRGiwLqa3uJUrHj9ccSiFS/z05B9nd+Jf4tGLf0
GtvTC41nqcXdFjE+zyBL0eWeYw==","ww0EBwMC1If0xURQU45j0j0BcDPxf4q+vIchTpPDj5nTjWpSLRrzN1cXzMCJjPbnbiDHd0IHxLMP
bEcbiEZG1HjLy2/6GIxh9yr9UQwr",Admin,"ww0EBwMCP3vbYIkgw6Vv0j4Bq3KhQ3UWwy50vScvNCfDcglAbKvGJ4CFz4uEjujeAiMI5MxCUQmh
BnKu73j+QktYzftElgJsumuo5k0kjA==","ww0EBwMCRu6hIOd0j05n0jsB4YqvnWA48/a1OkkwSdpK5Sr12Gl5g1Q6aGSsUEt9pYz+ai23KBbC
Wf0oEKzkznEhuwIXQ0FwgO86Zg==",26.00,2.00,industrial,,2026-02-26 15:04:03.371659+00,2026-02-26 15:04:03.371659+00
48fc272a-078e-4e41-88ef-1e1f2c657996,GEDNEY,,"ww0EBwMCtytdw0k4KTh00jsBEANq4RXgrqq5a+NAdHYLG49SHYJ3udyrVvX1yEErYg/I9hvIdf37
V8RoJDXXq6bEcSPYNMP6nQ0Keg==","ww0EBwMCQwtaoBjRW+x10j0BcImuE8DE+lyoLrgF95v5oCIfuI0ZAvPBxCt4Tvwgt01gKy1LrLk1
D6ECxvjDVuwhdwQvtqOmwBCwSYw3",Compras,"ww0EBwMConsh63CXHll20kMBTX8cpiq/l7KiFxvQq6IjMUwWtIYsloSzmoYj396jq8qnmjVW+ARB
yZ8pPobyqhnnj1PYWmjLkTe8YfuBiUAcBF6r","ww0EBwMC3D+ek28H1b5i0jsB2+gcZLENSd3OJEuWhAj56Ic+ExF0gpNf5Dii40NKzwVLIF6IPoi5
pL2gNsLIWlXEILlx2QApUBONpg==",23.60,3.00,industrial,,2026-02-26 15:04:03.371659+00,2026-02-26 15:04:03.371659+00
4a9d19d2-968b-46bd-b634-a8daff9c1134,EPC 2,,"ww0EBwMC5lF28DuBrE1l0jQB2d9MK6/B+xxJU9D81YgwEnWZYt4u2ztk/wzwlglQXcbuWbJDMevQ
hyDrBP6jCf3ZuFFH","ww0EBwMCMd5tRu9504Ri0j0BNyiicGEoJYCJFAhrucC2wyfOZExeqoAy9DsjFX3p2b34MYIFbIoA
KTdDMq4PIcmIMBfPWRgNjOr7qCKL",Ingeniería,"ww0EBwMCn1W7foaFwX5j0kQBT+QvuSyAHrpSjVpDxqMy5xQZmX76XR0Vt6su5IYxwT4Ujb2HXI+n
THww92/59dO67z1mT64zYht1oC/HagHvFn+S2w==","ww0EBwMClhl/g4wf+Gtu0jsBbcq1JR/RGI8cFHDu+icO2yB1dJgbKYy5BN5iwgPpGedlr6He31th
232yfJ4WgbnRPoGEIh56XS8VkQ==",402.00,8.00,industrial,,2026-02-26 15:04:03.371659+00,2026-02-26 15:04:03.371659+00
