id,concepto,monto_mensual,activo,creado_en,actualizado_en,nombre,monto
1fcb58df-ae88-4573-9363-9af35f0886c6,Renta,0.00,true,2026-04-10 14:02:29.032994+00,2026-04-10 14:02:29.032994+00,,24360.00
218f1ddc-d0ff-4ac5-adfc-edc976185753,Sueldos Base (Nómina),20000.00,true,2026-02-26 15:04:03.371659+00,2026-02-26 15:04:03.371659+00,,
220edba7-cb53-403a-a3eb-574d457298a5,Sueldos Base,0.00,true,2026-04-10 14:02:29.032994+00,2026-04-10 14:02:29.032994+00,,20000.00
2d7fb56e-7d27-4591-80ed-ff6e1c0f1e05,Electricidad (CFE),1500.00,true,2026-02-26 15:04:03.371659+00,2026-02-26 15:04:03.371659+00,,
3a383cb8-bdac-40ba-b341-992287bcfcbf,Luz,0.00,true,2026-04-10 14:02:29.032994+00,2026-04-10 14:02:29.032994+00,,1500.00
401a35a0-db86-4522-b3b1-ecb0ff648136,Renta Local,24360.00,true,2026-02-26 15:04:03.371659+00,2026-02-26 15:04:03.371659+00,,
81deaae3-5e25-4c87-983d-23121e800ffd,Camioneta,0.00,true,2026-04-10 14:02:29.032994+00,2026-04-10 14:02:29.032994+00,,8500.00
9ec1a75b-9ba2-426d-ab52-eeac6f55574e,Agua (SAPAL),500.00,true,2026-02-26 15:04:03.371659+00,2026-02-26 15:04:03.371659+00,,
b944b142-4820-47e2-8e60-c44ed420b77f,Mtto. Vehicular,8500.00,true,2026-02-26 15:04:03.371659+00,2026-02-26 15:04:03.371659+00,,
c540d705-87fa-49b5-ab16-6bf1a042e479,Internet / Tel,600.00,true,2026-02-26 15:04:03.371659+00,2026-02-26 15:04:03.371659+00,,
ce573e3e-a9a7-4802-821f-f480a9aa36e9,Agua,0.00,true,2026-04-10 14:02:29.032994+00,2026-04-10 14:02:29.032994+00,,500.00
e8ab79a5-336a-459d-a7e2-0e2abd564e3a,Internet,0.00,true,2026-04-10 14:02:29.032994+00,2026-04-10 14:02:29.032994+00,,600.00
